department,urban.rural,treatment,ID_IE,HM_Sex,HM_Age,Year_HM_ttl,Year_HM_this_school,HM_Highest_Degree_highschool,HM_Highest_Degree_bachelor,HM_Highest_Degree_master,HM_Highest_Degree_doctor,HM_Highest_Degree_professorate,HM_Highest_Degree_other,HM_Teacher_Title__1,HM_Teacher_Title__2,HM_Teacher_Title__3,HM_Degree_Teacher__1,HM_Degree_Teacher__2,HM_Degree_Teacher__3,HM_Degree_Teacher__4,HM_Degree_Teacher__5,HM_Degree_Teacher__6,HM_Degree_Teacher__7,HM_Degree_Teacher__8,Number_G7_Students_AM_r,Number_G7_Students_PM_r,Number_total_Students,School_Facility__1,School_Facility__2,School_Facility__3,School_Facility__4,School_Facility__5,School_Facility__6,School_Facility__7,School_Facility__8,Internet_Place__3,Meal_Provision,Donor_Project,Donor_Project__2,Donor_Project__3,Donor_Project__4,Donor_Project__5,Donor_Project__6,Donor_Project__7,Donor_Project__8,Donor_Project__9,Donor_Project__10,Donor_Project__11,Donor_Project__12,Donor_Project__13,Donor_Project__14,Donor_Project__15,Donor_Project__16,Donor_Project__17,Donor_Project__18,Donor_Project__19,Donor_Project__20,Difficult_teach_e__1,Difficult_teach_e__2,Difficult_teach_e__3,Difficult_teach_e__4,Difficult_teach_e__5,Difficult_teach_e__6,Suggestion_to_Teachr__1,Suggestion_to_Teachr__2,Suggestion_to_Teachr__3,Suggestion_to_Teachr__4,Suggestion_to_Teachr__5,Suggestion_to_Teachr__6,RP_e,RP_Frequency,RP_Participant_schls__1,RP_Participant_schls__2,RP_Participant_schls__3,RP_Participant_schls__4,RP_Theme_test_e,RP_Theme_test_cmpr_e,RP_Theme_test_rvw_e,Meeting_Parents_Association,Vice_Headmaster,Number_of_Teachers,Observe_Lesson,Observe_Lesson_G7_e,same_HM_YorN_f,timing_end,timing_fus,treatment_d,treatment_2018,treatment_2019
SAN VICENTE,Rural,Control,612836,0,42,4,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,24,171,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,2,0,1,0,0,1,2,2,1,2,11,1,1,2,1,0,0,0,0
SAN VICENTE,Rural,Treatment,580537,0,36,0,7,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,11,92,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,1,1,1,1,10,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Treatment,580537,0,36,0,7,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,11,92,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,2,NA,NA,1,1,10,1,1,1,1,0,1,1,0
SAN VICENTE,Rural,Control,611414,0,49,4,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,20,187,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,2,1,0,0,0,1,1,2,1,4,9,2,2,1,1,0,0,0,0
SAN VICENTE,Rural,Control,611414,0,49,4,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,20,187,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,2,1,1,0,0,1,1,2,1,4,9,1,1,1,0,1,0,0,0
SAN VICENTE,Rural,Control,609046,1,67,17,17,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,44,366,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,3,1,0,0,0,1,1,1,1,2,6,2,1,1,0,1,0,0,0
SAN VICENTE,Rural,Control,609046,1,67,17,17,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,44,366,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,3,0,1,1,0,2,NA,NA,1,2,6,1,1,1,1,0,0,0,0
SAN VICENTE,Urbana,Control,605602,1,52,22,18,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,50,14,473,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,2,1,1,1,0,2,NA,NA,1,2,8,1,1,1,1,0,0,0,0
SAN VICENTE,Urbana,Control,605602,1,52,22,18,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,50,14,473,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,0,1,2,1,1,2,8,1,1,1,0,1,0,0,0
SAN VICENTE,Rural,Treatment,583941,1,47,18,18,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,31,0,168,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,2,1,1,1,0,2,NA,NA,1,1,10,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Treatment,583941,1,47,18,18,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,31,0,168,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,1,1,0,1,1,2,1,1,10,1,1,1,1,0,1,1,0
SAN VICENTE,Rural,Control,615170,1,47,3,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,13,0,133,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,1,0,1,1,2,1,1,6,1,1,1,0,1,0,0,0
SAN VICENTE,Rural,Control,615170,1,47,3,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,13,0,133,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,1,1,1,1,1,6,1,1,1,1,0,0,0,0
SAN VICENTE,Urbana,Control,607389,1,46,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,76,0,517,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,2,0,0,1,0,1,1,1,1,1,18,1,1,2,0,1,0,0,0
SAN VICENTE,Urbana,Control,607389,1,57,2,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,76,0,517,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,1,1,1,18,1,1,2,1,0,0,0,0
SAN VICENTE,Urbana,Treatment,579464,0,52,6,6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,26,0,197,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,4,1,1,0,0,1,2,2,1,1,16,1,1,1,1,0,1,1,0
SAN VICENTE,Urbana,Treatment,579464,0,52,6,6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,26,0,197,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,3,0,1,1,0,1,1,2,1,1,16,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Control,609037,1,51,3,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,20,196,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,2,0,1,0,0,1,1,1,2,1,12,1,1,1,0,1,0,0,0
SAN VICENTE,Rural,Control,609037,1,51,3,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,20,196,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,2,2,2,1,12,1,1,1,1,0,0,0,0
SAN VICENTE,Rural,Treatment,584597,1,47,5,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,17,110,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,0,1,0,0,1,1,1,1,1,6,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Treatment,584597,1,47,5,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,17,110,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,1,1,1,1,6,1,1,1,1,0,1,1,0
SAN VICENTE,Rural,Treatment,585491,0,49,5,5,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,31,0,270,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,2,0,1,0,0,1,1,1,1,1,12,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Treatment,585491,0,49,5,5,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,31,0,270,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,3,0,1,1,0,1,2,1,1,1,12,1,1,1,1,0,1,1,0
SAN VICENTE,Urbana,Control,609521,1,39,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,42,0,267,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,3,0,1,0,0,1,2,1,1,1,9,1,1,2,0,1,0,0,0
SAN VICENTE,Urbana,Control,609521,1,48,18,18,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,42,0,267,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,2,0,1,0,0,1,1,1,1,1,9,1,1,2,1,0,0,0,0
SAN VICENTE,Urbana,Treatment,580253,1,43,7,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,38,0,394,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,2,1,1,0,0,1,2,2,1,1,14,1,1,1,1,0,1,1,0
SAN VICENTE,Urbana,Treatment,580253,1,43,7,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,38,0,394,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,2,0,0,1,0,1,1,1,1,1,14,2,2,1,0,1,1,0,1
SAN VICENTE,Rural,Treatment,583915,1,51,6,6,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,22,185,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,2,0,1,0,0,1,2,2,1,1,12,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Treatment,583915,1,51,6,6,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,22,185,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,2,0,0,1,0,1,2,1,1,1,12,1,1,1,1,0,1,1,0
SAN VICENTE,Rural,Control,613218,0,44,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,25,73,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,1,1,1,4,1,1,1,0,1,0,0,0
SAN VICENTE,Rural,Control,613218,0,44,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,25,73,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,2,1,1,1,0,1,1,2,1,1,4,1,1,1,1,0,0,0,0
SAN VICENTE,Urbana,Treatment,581690,1,40,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,48,0,392,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,1,0,0,1,1,1,1,1,15,1,1,2,0,1,1,0,1
SAN VICENTE,Urbana,Treatment,581690,1,49,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,48,0,392,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,1,1,1,1,15,1,1,2,1,0,1,1,0
SAN VICENTE,Rural,Treatment,586187,1,54,7,7,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,27,11,238,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,2,1,1,0,0,2,NA,NA,1,2,9,1,1,1,1,0,1,1,0
SAN VICENTE,Rural,Treatment,586187,1,54,7,7,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,27,11,238,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,2,1,1,2,9,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Treatment,583749,0,55,20,20,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,14,130,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,1,1,1,6,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Treatment,583749,0,55,20,20,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,14,130,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,2,0,1,0,0,1,1,1,1,1,6,1,1,1,1,0,1,1,0
SAN VICENTE,Urbana,Treatment,580571,0,55,4,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,19,0,136,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,0,1,1,1,1,2,10,2,2,2,1,0,1,1,0
SAN VICENTE,Urbana,Treatment,580571,0,40,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19,0,136,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,1,1,2,10,1,1,2,0,1,1,0,1
SAN VICENTE,Rural,Treatment,587453,1,44,13,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,137,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,2,0,1,0,0,1,1,1,1,1,6,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Treatment,587453,1,44,13,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,137,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,2,0,1,0,0,1,1,1,1,1,6,1,1,1,1,0,1,1,0
SAN VICENTE,Rural,Control,613043,1,56,16,16,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,31,284,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,0,2,NA,NA,1,1,12,1,1,1,1,0,0,0,0
SAN VICENTE,Rural,Control,613043,1,56,16,16,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,31,284,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,1,1,1,1,12,1,1,1,0,1,0,0,0
SAN VICENTE,Rural,Treatment,588899,0,50,7,7,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,19,150,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,1,1,0,0,1,1,1,1,1,7,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Treatment,588899,0,50,7,7,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,19,150,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,4,1,1,0,0,1,1,1,1,1,7,1,1,1,1,0,1,1,0
SAN VICENTE,Rural,Treatment,589506,1,62,5,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,23,124,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,1,2,2,1,1,5,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Treatment,589506,1,62,5,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,23,124,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,4,0,0,1,0,1,2,1,1,1,5,2,2,1,1,0,1,1,0
SAN VICENTE,Urbana,Treatment,581818,0,50,26,26,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,31,240,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,1,1,1,1,1,13,1,2,1,0,1,1,0,1
SAN VICENTE,Urbana,Treatment,581818,0,50,26,26,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,31,240,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,2,0,1,0,0,1,1,1,1,1,13,1,1,1,1,0,1,1,0
SAN VICENTE,Rural,Treatment,590352,0,55,9,9,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,18,157,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,1,1,1,10,1,1,1,1,0,1,1,0
SAN VICENTE,Rural,Treatment,590352,0,55,9,9,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,18,157,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,1,1,1,1,10,1,1,1,0,1,1,0,1
SAN VICENTE,Urbana,Treatment,584109,1,46,9,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,8,0,61,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,2,0,1,0,0,1,1,1,1,1,10,1,1,1,0,1,1,0,1
SAN VICENTE,Urbana,Treatment,584109,1,46,9,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,8,0,61,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,2,0,1,0,0,1,1,2,1,1,10,1,1,1,1,0,1,1,0
SAN VICENTE,Urbana,Treatment,581967,1,52,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,54,0,406,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,1,0,0,1,1,1,1,1,6,1,1,2,0,1,1,0,1
SAN VICENTE,Urbana,Treatment,581967,1,61,12,11,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,54,0,406,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,1,0,0,1,1,1,1,1,6,1,1,2,1,0,1,1,0
SAN VICENTE,Rural,Treatment,587010,1,46,8,8,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,36,325,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,1,1,2,1,1,14,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Treatment,587010,1,46,8,8,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,36,325,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,2,NA,NA,1,1,14,1,1,1,1,0,1,1,0
SAN VICENTE,Urbana,Treatment,583247,1,42,4,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,69,16,762,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,2,23,1,1,1,0,1,1,0,1
SAN VICENTE,Urbana,Treatment,583247,1,42,4,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,69,16,762,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,2,0,1,0,0,1,2,2,1,2,23,1,1,1,1,0,1,1,0
SAN VICENTE,Urbana,Control,612014,1,45,2,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,24,0,210,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,1,1,2,1,1,12,1,1,2,1,0,0,0,0
SAN VICENTE,Urbana,Control,612014,1,54,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,24,0,210,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,2,0,1,0,0,1,1,1,1,1,12,2,1,2,0,1,0,0,0
SAN VICENTE,Rural,Control,621689,1,48,8,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,23,23,320,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,2,1,1,1,0,1,2,1,1,1,8,1,1,1,0,1,0,0,0
SAN VICENTE,Rural,Control,621689,1,48,8,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,23,23,320,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1,1,0,0,1,1,1,1,1,8,1,1,1,1,0,0,0,0
SAN VICENTE,Rural,Control,618647,1,41,8,8,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,15,146,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,2,1,1,0,0,2,NA,NA,1,2,8,1,1,1,1,0,0,0,0
SAN VICENTE,Rural,Control,618647,1,41,8,8,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,15,146,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,2,0,1,0,0,1,1,1,1,2,8,2,2,1,0,1,0,0,0
SAN VICENTE,Rural,Control,619771,0,53,12,12,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,15,109,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,3,0,0,1,0,1,1,1,1,1,6,1,1,1,0,1,0,0,0
SAN VICENTE,Rural,Control,619771,0,53,12,12,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,15,109,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,2,NA,NA,1,1,6,2,1,1,1,0,0,0,0
