ID_IE,department,urban.rural,treatment,Ttl_teaching_periods,Teaching_Grade,Work_Shift_G7,Multigrade_G7,Teaching_other_subject_G7,Year_Start_teach,Year_Start_this_school,Teachr_Qualification__1,Teachr_Qualification__2,Teachr_Qualification__3,Teachr_Qualification__4,Teachr_Qualification__5,Teachr_Qualification__6,Teachr_Qualification__7,Teachr_Qualification__8,Teachr_Apontmt_Post__1,Teachr_Apontmt_Post__2,Teachr_Apontmt_Post__3,Teachr_Apontmt_Post__4,Inductive_Training,Classroom_Situation__1,Classroom_Situation__2,Classroom_Situation__3,Classroom_Situation__4,No_Students_F_G7,No_Students_M_G7,No_Students_Ttl_G7,Grade,No_Students_Female,No_Students_Male,Total_No_Students,treatment_d,Teacher_Sex,Highest_Degree_highschool,Highest_Degree_professorate,Highest_Degree_bachelor,Highest_Degree_master,Highest_Degree_doctor,Work_Shift_G7_morning,Work_Shift_G7_afternoon,Work_Shift_G7_both,Year_Start_teach_r,Teacher_Age
609037,SAN VICENTE,Rural,Control,25,0,2,2,0,1999,2010,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,13,6,19,7,11,6,17,0,1,0,0,1,0,0,0,1,0,20,41
584597,SAN VICENTE,Rural,Treatment,10,0,2,2,0,2000,2009,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,5,12,17,7,5,12,17,1,0,0,0,1,0,0,0,1,0,19,42
585491,SAN VICENTE,Rural,Treatment,25,0,1,2,0,1989,1989,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,7,24,31,7,7,19,26,1,0,0,0,1,0,0,1,0,0,30,49
609521,SAN VICENTE,Urbana,Control,25,0,1,2,0,1989,2006,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,17,22,39,7,17,19,36,0,1,0,0,1,0,0,1,0,0,30,54
580253,SAN VICENTE,Urbana,Treatment,5,0,1,2,1,1996,2006,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,19,19,38,7,19,18,37,1,0,0,1,0,0,0,1,0,0,23,46
583915,SAN VICENTE,Rural,Treatment,10,0,2,2,1,1999,2010,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,9,14,23,7,9,13,22,1,0,0,1,0,0,0,0,1,0,20,40
613218,SAN VICENTE,Rural,Control,5,0,2,2,0,2016,2017,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,13,5,18,7,12,4,16,0,0,0,1,0,0,0,0,1,0,3,24
581690,SAN VICENTE,Urbana,Treatment,25,0,1,2,0,1996,2001,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,13,10,23,7,12,7,19,1,1,0,1,0,0,0,1,0,0,23,47
586187,SAN VICENTE,Rural,Treatment,25,0,1,2,0,1982,1992,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,16,11,27,7,15,11,26,1,1,0,1,0,0,0,1,0,0,37,56
583749,SAN VICENTE,Rural,Treatment,25,0,2,2,0,1990,1990,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,7,7,14,7,6,5,11,1,0,1,0,0,0,0,0,1,0,29,48
580571,SAN VICENTE,Urbana,Treatment,25,0,1,2,1,1994,1999,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,5,14,19,7,4,10,14,1,0,0,1,0,0,0,1,0,0,25,48
587453,SAN VICENTE,Rural,Treatment,5,0,2,2,0,2011,2013,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,8,4,12,7,5,3,8,1,1,0,1,0,0,0,0,1,0,8,32
613043,SAN VICENTE,Rural,Control,25,0,1,2,0,1985,2004,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,11,22,33,7,10,17,27,0,1,0,1,0,0,0,1,0,0,34,58
588899,SAN VICENTE,Rural,Treatment,25,0,2,2,0,2007,2013,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,10,9,19,7,9,7,16,1,1,0,1,0,0,0,0,1,0,12,33
589506,SAN VICENTE,Rural,Treatment,50,0,2,2,0,2010,2010,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,9,14,23,7,8,14,22,1,0,0,1,0,0,0,0,1,0,9,32
581818,SAN VICENTE,Urbana,Treatment,5,0,2,2,0,2016,2018,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,15,16,31,7,14,14,28,1,1,0,0,1,0,0,0,1,0,3,24
