department,urban.rural,treatment,ID_IE,year_survey,month_survey,Sex,Age,Year_HM_ttl,Year_HM_this_school,Highest_Degree,Highest_Degree_other,Degree_Teacher__1,Degree_Teacher__2,Degree_Teacher__3,Degree_Teacher__4,Degree_Teacher__5,Degree_Teacher__6,Degree_Teacher__7,Degree_Teacher__8,Teacher_Title__1,Teacher_Title__2,Teacher_Title__3,Teacher_Title__4,Multi_shift_G1__1,Multi_shift_G1__2,Multi_shift_G2__1,Multi_shift_G2__2,Multi_shift_G3__1,Multi_shift_G3__2,Multi_shift_G4__1,Multi_shift_G4__2,Multi_shift_G5__1,Multi_shift_G5__2,Multi_shift_G6__1,Multi_shift_G6__2,Multi_shift_G7__1,Multi_shift_G7__2,Multi_shift_G8__1,Multi_shift_G8__2,Multi_shift_G9__1,Multi_shift_G9__2,Number_Female_G1_Students_AM,Number_Male_G1_Students_AM,Number_Female_G2_Students_AM,Number_Male_G2_Students_AM,Number_Female_G3_Students_AM,Number_Male_G3_Students_AM,Number_Female_G4_Students_AM,Number_Male_G4_Students_AM,Number_Female_G5_Students_AM,Number_Male_G5_Students_AM,Number_Female_G6_Students_AM,Number_Male_G6_Students_AM,Number_Female_G7_Students_AM,Number_Male_G7_Students_AM,Number_Female_G8_Students_AM,Number_Male_G8_Students_AM,Number_Female_G9_Students_AM,Number_Male_G9_Students_AM,Number_Female_G1_Students_PM,Number_Male_G1_Students_PM,Number_Female_G2_Students_PM,Number_Male_G2_Students_PM,Number_Female_G3_Students_PM,Number_Male_G3_Students_PM,Number_Female_G4_Students_PM,Number_Male_G4_Students_PM,Number_Female_G5_Students_PM,Number_Male_G5_Students_PM,Number_Female_G6_Students_PM,Number_Male_G6_Students_PM,Number_Female_G7_Students_PM,Number_Male_G7_Students_PM,Number_Female_G8_Students_PM,Number_Male_G8_Students_PM,Number_Female_G9_Students_PM,Number_Male_G9_Students_PM,Number_of_Teachers,Vice_Headmaster,Multi_section_G2__1,Multi_section_G2__2,Multi_section_G7__1,Multi_section_G7__2,Enrol_Female_G1_AM,Enrol_Male_G1_AM,Enrol_Female_G2_AM,Enrol_Male_G2_AM,Enrol_Female_G3_AM,Enrol_Male_G3_AM,Enrol_Female_G7_AM,Enrol_Male_G7_AM,Enrol_Female_G8_AM,Enrol_Male_G8_AM,Enrol_Female_G9_AM,Enrol_Male_G9_AM,Enrol_Female_G1_PM,Enrol_Male_G1_PM,Enrol_Female_G2_PM,Enrol_Male_G2_PM,Enrol_Female_G3_PM,Enrol_Male_G3_PM,Enrol_Female_G7_PM,Enrol_Male_G7_PM,Enrol_Female_G8_PM,Enrol_Male_G8_PM,Enrol_Female_G9_PM,Enrol_Male_G9_PM,Dropout_Female_G1_AM,Dropout_Male_G1_AM,Dropout_Female_G2_AM,Dropout_Male_G2_AM,Dropout_Female_G3_AM,Dropout_Male_G3_AM,Dropout_Female_G7_AM,Dropout_Male_G7_AM,Dropout_Female_G8_AM,Dropout_Male_G8_AM,Dropout_Female_G9_AM,Dropout_Male_G9_AM,Dropout_Female_G1_PM,Dropout_Male_G1_PM,Dropout_Female_G2_PM,Dropout_Male_G2_PM,Dropout_Female_G3_PM,Dropout_Male_G3_PM,Dropout_Female_G7_PM,Dropout_Male_G7_PM,Dropout_Female_G8_PM,Dropout_Male_G8_PM,Dropout_Female_G9_PM,Dropout_Male_G9_PM,Transfer_Female_G1_AM,Transfer_Male_G1_AM,Transfer_Female_G2_AM,Transfer_Male_G2_AM,Transfer_Female_G3_AM,Transfer_Male_G3_AM,Transfer_Female_G7_AM,Transfer_Male_G7_AM,Transfer_Female_G8_AM,Transfer_Male_G8_AM,Transfer_Female_G9_AM,Transfer_Male_G9_AM,Transfer_Female_G1_PM,Transfer_Male_G1_PM,Transfer_Female_G2_PM,Transfer_Male_G2_PM,Transfer_Female_G3_PM,Transfer_Male_G3_PM,Transfer_Female_G7_PM,Transfer_Male_G7_PM,Transfer_Female_G8_PM,Transfer_Male_G8_PM,Transfer_Female_G9_PM,Transfer_Male_G9_PM,Repeat_Female_G1_AM,Repeat_Male_G1_AM,Repeat_Female_G2_AM,Repeat_Male_G2_AM,Repeat_Female_G3_AM,Repeat_Male_G3_AM,Repeat_Female_G7_AM,Repeat_Male_G7_AM,Repeat_Female_G8_AM,Repeat_Male_G8_AM,Repeat_Female_G9_AM,Repeat_Male_G9_AM,Repeat_Female_G1_PM,Repeat_Male_G1_PM,Repeat_Female_G2_PM,Repeat_Male_G2_PM,Repeat_Female_G3_PM,Repeat_Male_G3_PM,Repeat_Female_G7_PM,Repeat_Male_G7_PM,Repeat_Female_G8_PM,Repeat_Male_G8_PM,Repeat_Female_G9_PM,Repeat_Male_G9_PM,School_Facility__1,School_Facility__2,School_Facility__3,School_Facility__4,School_Facility__5,School_Facility__6,School_Facility__7,School_Facility__8,Internet_Place__1,Internet_Place__2,Internet_Place__3,Internet_Place__4,Meal_Provision,Supplement_Class,Donor_Project__1,Donor_Project__2,Donor_Project__3,Donor_Project__4,Donor_Project__5,Donor_Project__6,Donor_Project__7,Donor_Project__8,Donor_Project__9,Donor_Project__10,Donor_Project__11,Donor_Project__12,Donor_Project__13,Donor_Project__14,Donor_Project__15,Donor_Project__16,Donor_Project__17,Donor_Project__18,Donor_Project__19,Donor_Project__20,treatment_d,Highest_Degree_highschool,Highest_Degree_bachelor,Highest_Degree_master,Highest_Degree_doctor,Highest_Degree_professorate,Number_G1_Students_AM,Number_G2_Students_AM,Number_G3_Students_AM,Number_G4_Students_AM,Number_G5_Students_AM,Number_G6_Students_AM,Number_G7_Students_AM,Number_G8_Students_AM,Number_G9_Students_AM,Number_G1_Students_PM,Number_G2_Students_PM,Number_G3_Students_PM,Number_G4_Students_PM,Number_G5_Students_PM,Number_G6_Students_PM,Number_G7_Students_PM,Number_G8_Students_PM,Number_G9_Students_PM,Number_G1_Students_AM_r,Number_G2_Students_AM_r,Number_G3_Students_AM_r,Number_G4_Students_AM_r,Number_G5_Students_AM_r,Number_G6_Students_AM_r,Number_G7_Students_AM_r,Number_G8_Students_AM_r,Number_G9_Students_AM_r,Number_G1_Students_PM_r,Number_G2_Students_PM_r,Number_G3_Students_PM_r,Number_G4_Students_PM_r,Number_G5_Students_PM_r,Number_G6_Students_PM_r,Number_G7_Students_PM_r,Number_G8_Students_PM_r,Number_G9_Students_PM_r,Number_total_Students,repeat_rate_g2_am,repeat_rate_g7_am,repeat_rate_g2_pm,repeat_rate_g7_pm,drop_out_rate_g2_am,drop_out_rate_g7_am,drop_out_rate_g2_pm,drop_out_rate_g7_pm,Donor_Project
CABANAS,Urbana,Treatment,1099194,2018,1,0,51,12,12,2,,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,21,16,19,13,17,18,9,13,20,26,20,34,26,16,21,21,16,16,16,11,12,7,16,8,17,10,18,16,12,17,22,7,26,23,22,20,1,0,0,0,0,16,16,12,14,18,13,18,26,20,20,28,31,14,15,8,16,7,17,11,30,23,26,16,12,2,0,0,1,0,3,0,1,0,1,0,0,2,1,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,3,3,0,1,7,2,12,3,4,0,0,1,5,0,4,1,7,4,14,2,7,0,9,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,32,35,30,27,33,46,60,37,37,32,23,23,25,28,28,39,33,45,32,35,30,27,33,46,60,37,37,32,23,23,25,28,28,39,33,45,613,0.115384615,0.318181818,0.166666667,0.43902439,0.038461538,0.022727273,0.083333333,0.048780488,1
CABANAS,Urbana,Control,1206477,2018,1,0,46,2,2,5,,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,22,10,21,15,13,18,8,9,15,12,16,22,32,22,30,15,11,NA,NA,7,6,4,14,9,10,7,5,10,8,5,12,6,7,11,7,16,2,0,0,1,0,19,25,14,14,17,7,23,35,16,13,26,20,NA,NA,5,14,8,10,9,8,9,11,9,8,1,2,0,0,0,0,1,6,0,0,2,1,NA,NA,1,1,0,0,2,0,0,3,3,2,1,2,0,0,0,0,1,96,0,0,2,1,NA,NA,1,1,0,0,2,0,0,3,3,2,0,0,0,0,0,0,1,1,0,1,0,2,NA,NA,0,0,0,0,0,0,0,0,0,8,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,48,31,28,26,24,28,54,52,26,NA,13,18,19,12,18,17,13,18,48,31,28,26,24,28,54,52,26,0,13,18,19,12,18,17,13,18,445,0,0.034482759,0,0,0,0.120689655,0.105263158,0.117647059,1
CABANAS,Urbana,Treatment,1099732,2018,1,0,38,2,2,2,,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,35,34,12,16,17,9,31,19,15,13,13,16,22,27,14,16,19,22,NA,NA,11,17,14,25,10,11,7,11,11,9,NA,NA,NA,NA,NA,NA,15,1,0,0,1,0,28,36,9,15,34,22,24,16,21,28,22,15,NA,NA,25,22,11,12,NA,NA,NA,NA,NA,NA,2,4,0,2,0,1,2,6,2,5,1,2,NA,NA,4,0,1,0,NA,NA,NA,NA,NA,NA,2,4,0,2,0,1,0,0,0,0,0,0,NA,NA,4,0,1,0,NA,NA,NA,NA,NA,NA,2,4,0,1,2,3,0,3,0,2,1,2,NA,NA,0,2,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,69,28,26,50,28,29,49,30,41,NA,28,39,21,18,20,NA,NA,NA,69,28,26,50,28,29,49,30,41,0,28,39,21,18,20,0,0,0,476,0.041666667,0.075,0.042553191,NA,0.083333333,0.2,0.085106383,NA,1
SAN VICENTE,Rural,Treatment,585449,2018,2,1,48,15,15,5,,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,5,7,1,4,4,7,2,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,8,6,3,3,4,6,4,1,0,0,0,0,2,5,4,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,7,10,7,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,1,0,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,12,5,11,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,14,6,10,12,5,11,3,9,0,0,0,0,0,0,0,0,0,9,14,6,10,79,0,NA,NA,0.142857143,0,NA,NA,0,1
SAN VICENTE,Rural,Control,612836,2018,2,0,42,4,4,2,,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,7,9,6,10,7,11,10,6,4,8,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,15,16,14,17,10,11,2,0,0,0,1,7,8,8,13,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,19,20,13,11,17,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,1,3,1,4,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,1,1,2,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,0,0,1,1,1,0,0,0,1,1,NA,NA,NA,NA,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,16,16,18,16,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,30,27,16,16,18,16,12,12,0,0,0,0,0,0,0,0,0,24,30,27,171,0,NA,NA,0.15625,0,NA,NA,0.21875,1
SAN VICENTE,Rural,Treatment,580537,2018,2,0,36,0,7,5,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,7,4,3,6,2,5,7,3,1,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,8,4,4,14,10,1,0,0,0,0,3,7,2,6,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,3,11,10,14,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,1,0,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,9,7,10,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,18,11,9,7,10,5,9,0,0,0,0,0,0,0,0,0,11,12,18,92,0,NA,NA,0,0,NA,NA,0,1
SAN VICENTE,Rural,Control,611414,2018,2,0,49,4,4,5,,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,11,9,10,15,10,12,4,12,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,8,12,9,13,7,17,9,4,0,0,0,0,11,9,10,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12,9,13,7,17,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,2,0,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,1,1,1,0,0,0,1,1,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,25,22,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,20,22,24,20,25,22,16,17,0,0,0,0,0,0,0,0,0,21,20,22,24,187,0,NA,NA,0,0.04,NA,NA,0.2,1
SAN VICENTE,Rural,Control,609046,2018,3,1,67,17,17,5,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,19,30,19,24,16,27,24,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,16,15,20,29,15,17,24,19,22,6,2,1,0,0,1,19,30,19,24,16,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,15,17,24,19,22,6,3,5,4,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,9,0,7,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,5,2,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,49,43,43,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,35,44,41,41,49,43,43,39,0,0,0,0,0,0,0,0,0,31,35,44,41,41,366,0,NA,NA,0.272727273,0.209302326,NA,NA,0.204545455,1
SAN VICENTE,Urbana,Control,605602,2018,2,1,52,22,18,5,,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,15,30,20,30,18,13,18,12,15,13,21,29,21,14,19,12,14,12,8,3,11,1,2,14,3,9,6,6,6,8,6,3,12,5,14,8,2,1,1,1,0,30,28,29,19,16,14,14,18,13,24,13,24,5,16,2,1,20,6,2,15,6,19,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,45,50,48,31,27,34,50,33,26,20,14,3,17,15,12,14,15,19,45,50,48,31,27,34,50,33,26,20,14,3,17,15,12,14,15,19,473,0,0.09375,0,0.117647059,0,0,0,0,1
SAN VICENTE,Rural,Treatment,583941,2018,2,1,47,18,18,5,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,11,10,NA,NA,6,11,9,9,13,18,3,11,8,6,6,14,7,8,NA,NA,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,0,0,0,NA,NA,NA,NA,8,15,5,15,8,9,11,8,8,8,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,1,2,2,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,4,0,2,2,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,NA,NA,21,NA,17,18,31,14,14,20,15,NA,18,NA,NA,NA,NA,NA,0,0,21,0,17,18,31,14,14,20,15,0,18,0,0,0,0,0,168,NA,0.25,0,NA,NA,0.1,0.052631579,NA,1
SAN VICENTE,Rural,Control,615170,2018,2,1,47,3,2,5,,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,6,6,NA,NA,NA,NA,NA,NA,8,10,8,6,9,4,9,9,9,2,NA,NA,8,10,6,6,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,0,0,0,0,7,6,NA,NA,NA,NA,10,11,10,2,8,5,NA,NA,7,6,8,7,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,0,1,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,2,0,0,0,0,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,1,NA,NA,NA,NA,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,NA,NA,NA,18,14,13,18,11,NA,18,12,17,NA,NA,NA,NA,NA,12,0,0,0,18,14,13,18,11,0,18,12,17,0,0,0,0,0,133,NA,0.095238095,0.076923077,NA,NA,0.095238095,0,NA,1
SAN VICENTE,Urbana,Control,607389,2018,2,1,57,2,2,5,,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,16,19,14,11,19,9,12,17,16,25,6,21,35,41,31,25,23,28,11,20,9,10,13,9,13,17,10,11,15,11,NA,NA,NA,NA,NA,NA,18,1,1,1,1,0,16,19,14,11,19,9,18,20,31,25,23,28,11,20,9,10,13,9,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2,2,0,1,0,0,1,4,0,1,0,1,0,0,3,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,35,25,28,29,41,27,76,56,51,31,19,22,30,21,26,NA,NA,NA,35,25,28,29,41,27,76,56,51,31,19,22,30,21,26,0,0,0,517,0.04,0.131578947,0.210526316,NA,0,0,0,NA,1
SAN VICENTE,Urbana,Treatment,579464,2018,2,0,52,6,6,5,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,16,12,13,15,9,8,6,11,7,11,10,10,8,18,13,11,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,0,0,0,0,15,12,7,17,18,4,16,12,8,13,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,28,28,17,17,18,20,26,24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,28,17,17,18,20,26,24,19,0,0,0,0,0,0,0,0,0,197,0.041666667,0,NA,NA,0,0.035714286,NA,NA,1
SAN VICENTE,Rural,Control,609037,2018,2,1,51,3,3,5,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,8,13,10,12,10,13,12,11,13,12,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,10,8,10,9,12,1,0,0,0,0,8,13,10,12,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,10,8,10,9,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,1,0,1,0,NA,NA,NA,NA,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,21,22,23,23,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,18,19,21,22,23,23,25,25,0,0,0,0,0,0,0,0,0,20,18,19,196,0,NA,NA,0,0,NA,NA,0.05,1
SAN VICENTE,Rural,Treatment,584597,2018,2,1,47,5,5,5,,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,4,8,8,7,7,13,5,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,5,12,7,4,3,4,6,1,0,0,0,0,8,9,8,12,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,4,6,6,4,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,0,1,0,1,1,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,15,20,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,17,11,7,12,15,20,8,10,0,0,0,0,0,0,0,0,0,10,17,11,7,110,0,NA,NA,0,0.05,NA,NA,0,1
SAN VICENTE,Rural,Treatment,585491,2018,3,0,49,5,5,2,,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,9,22,10,15,11,15,10,9,NA,NA,NA,NA,7,24,15,19,9,19,NA,NA,NA,NA,NA,NA,9,8,17,9,14,19,NA,NA,NA,NA,NA,NA,12,1,0,0,0,0,10,17,11,17,22,16,16,22,12,20,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,4,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,1,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,31,25,26,19,NA,NA,31,34,28,NA,NA,NA,17,26,33,NA,NA,NA,31,25,26,19,0,0,31,34,28,0,0,0,17,26,33,0,0,0,270,0,0,NA,NA,0.035714286,0.105263158,NA,NA,1
SAN VICENTE,Urbana,Control,609521,2018,2,1,48,18,18,2,,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,18,12,14,17,18,10,13,18,15,14,20,12,19,23,10,13,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,0,0,0,0,21,15,12,19,17,13,13,10,12,22,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,2,1,1,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,1,1,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,30,31,28,31,29,32,42,23,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,31,28,31,29,32,42,23,21,0,0,0,0,0,0,0,0,0,267,0,0,NA,NA,0,0.086956522,NA,NA,1
